Sentence,Two_Entity,Predict,Label,idx
lynn morgan president of the soccer association is one of those who has the job of organizing this global event that has only got four months to get put together instead of four years as usual and she joins us from atlanta this morning .,"[[she], [atlanta]]",PHYS-lr,NONE,831
greg mil ##am is with the u . k . forces in southern iraq .,"[[greg, mil, ##am], [iraq]]",PHYS-lr,NONE,19466
they ' re expecting a total at this particular base near the iraqi border of 300 sort ##ies in a 24 - hour period ending today according to the air force total from all the bases and there are more than 30 bases in 12 different countries in the middle east according to the pentagon .,"[[base], [border]]",PHYS-lr,NONE,39060
"gary tu ##chman in an air base near the iraq border , thanks very much , gary tu ##chman .","[[base], [border]]",PHYS-lr,NONE,39112
"gary tu ##chman in an air base near the iraq border , thanks very much , gary tu ##chman .","[[gary, tu, ##chman], [base]]",PHYS-lr,NONE,39117
he joins us now from london to talk about rebuilding his country .,"[[he], [london]]",PHYS-lr,NONE,47774

"af ##p _ eng _ 2003 ##0 ##42 ##5 . 04 ##0 ##8 news story 2003 ##0 ##42 ##5 north korea nuclear bombs ##hell sparks alarm , appeals for calm by charles w ##hel ##an = ( picture , graphic ) = seoul , april 25 ( af ##p ) us allegations that north korea admitted to possessing nuclear weapons triggered alarm across asia friday and prompted appeals for calm from world capitals .","[[world, capitals], []]",PART-WHOLE-lr,NONE,1460
"i ' m kelly wallace , cnn , reporting from net ##any ##ahu , israel .","[[net, ##any, ##ahu], [israel]]",PART-WHOLE-lr,NONE,21589
"on another vital front , british troops thrust to the center of bas ##ra , iraq ' s second largest city , with a sense they were finally shaking saddam loyalists loose .","[[center], [city]]",PART-WHOLE-lr,NONE,24278
"andrew lust ##er , though arrived yesterday at los angeles international airport on a commercial flight from mexico .","[[flight], [mexico]]",PART-WHOLE-lr,NONE,33520
"anne - marie will get the couple ' s 19 - room home in new york state , which was on the market last year for 21 . 5 million dollars , as well as their fine art collection .","[[room], [state]]",PART-WHOLE-lr,NONE,65601
""" senior government officials , speaking in the corridors of power in moscow , have no illusions about any long - term perspectives for the ( russian - german - french ) axis , "" the respected i ##z ##ves ##tia daily reported .","[[corridors], [moscow]]",PART-WHOLE-lr,NONE,66693

"jonathan karl , cnn , washington .","[[jonathan, karl], [cnn]]",ORG-AFF-lr,NONE,33731

they ' re expecting a total at this particular base near the iraqi border of 300 sort ##ies in a 24 - hour period ending today according to the air force total from all the bases and there are more than 30 bases in 12 different countries in the middle east according to the pentagon .,"[[air, force], [bases]]",ART-lr,NONE,19353
the job of these royal engineers is to clear this and many other mountains of armament ##s and destroy them .,"[[engineers], [them]]",ART-lr,NONE,19602
the country ' s parliament voted this month to allow u . s . - led coalition forces to use italian air space and military bases _ but not for directs attacks on iraq .,"[[coalition], [bases]]",ART-lr,NONE,58551
would you support the use of military force to block iran from developing nuclear weapons ?,"[[iran], [weapons]]",ART-lr,NONE,60533

"sources tell our national security correspondent , david en ##sor , that the terrorist is a member of a group operating in the west of baghdad .","[[group], [baghdad]]",GEN-AFF-lr,NONE,10025
national security correspondent david en ##sor joins us live from washington .,"[[us], [washington]]",GEN-AFF-lr,NONE,16510
the stay was granted to give the school districts involved in the initial cases 90 days to appeal to the u . s . supreme court here in washington .,"[[u, ., s, ., supreme, court], [washington]]",GEN-AFF-lr,NONE,51681
"if we can tie up all state procurement officials and all vendors in a quest to help under - represented small , minority , and woman - owned businesses , we should commit all new state facility spending in a quest to help our economically disadvantaged regions .","[[businesses], [we]]",GEN-AFF-lr,NONE,53436

putin concluded his two days of talks in saint petersburg with jacques chi ##rac of france and german chancellor gerhard sc ##hr ##oed ##er on saturday still urging for a central role for the united nations in a post - war revival of iraq .,"[[france], [gerhard, sc, ##hr, ##oed, ##er]]",PHYS-rl,NONE,66881

"anwar will be taken to the appeal court early friday for a bail application pending his appeal to the country ' s highest federal court again ##t his so ##dom ##y conviction , counsel sank ##ara nair said .","[[country], [federal, court]]",PART-WHOLE-rl,NONE,9240
about nine miles from the iraqi capital .,"[[iraqi, capital], []]",PART-WHOLE-rl,NONE,12823
"ap ##w _ eng _ 2003 ##0 ##31 ##9 . 05 ##45 news story 2003 ##0 ##31 ##9 dil ##ler resign ##s as head of vi ##ven ##di universal entertainment los angeles ( ap ) barry dil ##ler resigned as co - chief executive of vi ##ven ##di universal entertainment , saying it was appropriate for him to step down while paris - based vi ##ven ##di universal entertain ##s bids for universal studios , universal ' s theme parks and other entertainment assets .","[[universal], [assets]]",PART-WHOLE-rl,NONE,17218
"ap ##w _ eng _ 2003 ##0 ##31 ##9 . 05 ##45 news story 2003 ##0 ##31 ##9 dil ##ler resign ##s as head of vi ##ven ##di universal entertainment los angeles ( ap ) barry dil ##ler resigned as co - chief executive of vi ##ven ##di universal entertainment , saying it was appropriate for him to step down while paris - based vi ##ven ##di universal entertain ##s bids for universal studios , universal ' s theme parks and other entertainment assets .","[[universal, studios], [parks]]",PART-WHOLE-rl,NONE,17282
"also that bomb site in baghdad hit about a week and a half ago , the mans ##our district .","[[baghdad], [mans, ##our, district]]",PART-WHOLE-rl,NONE,29051
"gary tu ##chman in an air base near the iraq border , thanks very much , gary tu ##chman .","[[iraq, border], []]",PART-WHOLE-rl,NONE,39113

"cnn ' s ryan chi ##lco ##te is embedded with the 101 ##st airborne division , and he has the story .","[[cnn], [ryan, chi, ##lco, ##te]]",ORG-AFF-rl,NONE,3947
"this programming note , tomorrow at noon eastern i ' ll have a special interview with the nation ' s top military officer , the chairman of the joint chiefs of staff .","[[nation], [officer]]",ORG-AFF-rl,NONE,19416
troops are involved in heavy fighting with iraqi forces .,"[[iraqi, forces], []]",ORG-AFF-rl,NONE,26720
