Sentence,Two_Entity,Predict,Label,idx
british forces say they ' re con ##sol ##ida ##ting their position in bas ##ra ' s key suburbs .,"[[they], [suburbs]]",PHYS-lr,NONE,5297
this is the end of the road for kurdish forces manning this remote checkpoint .,"[[forces], [checkpoint]]",PHYS-lr,NONE,7907
this as it continues to push ever closer towards the southern suburbs of baghdad .,"[[it], [suburbs]]",PHYS-lr,NONE,9854
cnn ##hl _ eng _ 2003 ##0 ##40 ##3 _ 133 ##45 ##3 . 21 news story 2003 - 04 - 03 13 : 51 : 01 the associated press is reporting that u . s . troops have launched an attack on saddam international airport .,"[[troops], [saddam, international, airport]]",PHYS-lr,NONE,12821
greg mil ##am is with the u . k . forces in southern iraq .,"[[greg, mil, ##am], [iraq]]",PHYS-lr,NONE,19466
"while two guard divisions have apparently been smashed , there are three others in the baghdad area .","[[divisions], [area]]",PHYS-lr,NONE,22683
"as conventional units fought their way to the outskirts of the capital , officials said special forces had raided the tha ##rth ##ar presidential palace near ti ##kr ##it , saddam ' s hometown .","[[units], [palace]]",PHYS-lr,NONE,30814
"let me tell you , what trips to walter reed taught me was , that whoever thought up the term , the law of un ##int ##ended consequences it per ##tain ##s to war .","[[you], [walter, reed]]",PHYS-lr,NONE,41055
"according to other reports reaching here , five syrian bus passengers were killed and 10 others were injured on sunday morning when a us missile hit the bus they were traveling in near the iraqi border .","[[passengers], [border]]",PHYS-lr,NONE,50406
so we ca n ' t breathe there .,"[[we], [there]]",PHYS-lr,NONE,62860

he is andrew lust ##er ' s attorney .,"[[andrew, lust, ##er], [attorney]]",ORG-AFF-lr,NONE,11896
"professor john lee ha ##k - shan at the department of mechanical engineering of mcgill university of canada , rebecca lee lok - s ##ze , founder and director of china polar museum foundation , humphrey leung kw ##ong - wai , president & amp ; managing director of solomon sy ##ste ##ch limited , liu sing - che ##ong , founder and managing director of pearl river hang che ##ong real estate consultants ltd , and samuel wong king - on , international deputy president of the association of chartered certified accountants .","[[founder], [solomon, sy, ##ste, ##ch, limited]]",ORG-AFF-lr,NONE,20004
now officials in the worldwide museum community have pledged their help in restoring iraq ' s past .,"[[officials], [museum]]",ORG-AFF-lr,NONE,35893
no officials at the ai ##g tokyo office or ge edison were immediately available to comment on the reports .,"[[officials], [ge, edison]]",ORG-AFF-lr,NONE,50510
why would an nbc reporter ( who also reports on the u . n . for national public radio ) take money from the u . n . lobby ?,"[[reporter], [national, public, radio]]",ORG-AFF-lr,NONE,55484

that pilot was hit by at least one missile and some artillery .,"[[pilot], [missile]]",ART-lr,NONE,3205
that pilot was hit by at least one missile and some artillery .,"[[pilot], [artillery]]",ART-lr,NONE,3206
"the man was arrested there after authorities say he hi ##jack ##ed a cuban plane using what was reported to be grenades , ordering the pilots to fly to florida .","[[man], [plane]]",ART-lr,NONE,5173
"the hi ##jack ##er got off the plane wearing a jacket that said , america across the back .","[[hi, ##jack, ##er], [plane]]",ART-lr,NONE,5186
"we also know that 12 miles southwest of the city , coalition forces remain largely in control of what was formerly saddam hussein international airport , now renamed by the coalition baghdad international airport .","[[forces], [saddam, hussein, international, airport]]",ART-lr,NONE,27889
"to the far north , u . s . special forces and kurdish militia ##men captured the town of bard ##ara ##sh and a nearby bridge , one of few routes into the city of mo ##sul near government - held oil fields .","[[forces], [bridge]]",ART-lr,NONE,30915
"ap ##w _ eng _ 2003 ##0 ##51 ##3 . 01 ##39 news story 2003 ##0 ##51 ##3 north korea may have fired laser at us aircraft , official says , as north null ##ifies accord to keep peninsula nuclear - weapons free seoul , south korea ( ap ) north korea ' s military may have fired a laser at a u . s . helicopter in march , a u . s . official said tuesday , as the communist state ditch ##ed its last legal obligation to keep itself free of nuclear weapons .","[[itself], [weapons]]",ART-lr,NONE,33970
"unidentified male no , because i am in an area which i do n ' t know where the enemy could be and i might get to the airplane , by the time i get out of the airplane i ' m thinking the same way .","[[i], [airplane]]",ART-lr,NONE,38892
"unidentified male no , because i am in an area which i do n ' t know where the enemy could be and i might get to the airplane , by the time i get out of the airplane i ' m thinking the same way .","[[i], [airplane]]",ART-lr,NONE,38897
"this is n ' t writing , it ' s typing has a great post out with a ton of info , some of it quite scary a more frightening scenario is that terrorists may have obtained a chinese - produced z ##m - 87 laser blind ##er which is specifically designed to blind eyes ##ight .","[[laser, blind, ##er], []]",ART-lr,NONE,48954
"however , these techniques by themselves can not completely mit ##igate the risk of domestic attacks and would not protect u . s . airline ##rs flying to and from foreign airports .","[[u, ., s], [airline, ##rs]]",ART-lr,NONE,49244
that ' s my cub ##by hole .,"[[my], [hole]]",ART-lr,NONE,53677
"the airfield ' s 6 , 700 - foot ( 2 , 04 ##2 - meter ) runway is long enough to land c - 17 ##s and other u . s . military cargo planes .","[[u, ., s], [planes]]",ART-lr,NONE,58489
"u . s . intelligence said powell indicates iraq has hidden equipment to produce al - sam ##oud 2 missiles , even as it destroys existing ones , missiles that until recently , it claimed not to have .","[[iraq], [missiles]]",ART-lr,NONE,63083
once he gets out of the helicopter he ' ll transfer to air force one to come home after a 20 - hour visit with the prime minister of great britain .,"[[he], [air, force, one]]",ART-lr,NONE,63779
they were swimming toward the boat .,"[[they], [boat]]",ART-lr,NONE,66321

"yeah , there ' s a little tension between the house majority leader , tom delay , and his successor as house majority whip and his former deputy , lloyd blunt , kind of came to light when "" the washington post "" had a front - page story showing disagreement on the provision , delay had it taken out .","[[house], [leader]]",ORG-AFF-rl,NONE,618
troops are involved in heavy fighting with iraqi forces .,"[[iraqi], [forces]]",ORG-AFF-rl,NONE,26720
why has n ' t our president told us that ?,"[[our], [president]]",ORG-AFF-rl,NONE,40981

"i mean do you know ( un ##int ##elli ##gible ) ban ##ham i ' m not too sure but judging by some of this , it ' s been here quite a long time so whether it ' s been used recently by them - there was an intel upbeat saying that they were possibly coming back to try and get this to use against them .","[[it], [them]]",ART-rl,NONE,19567
"captain andy goo ##ch , royal engineers with the amounts of ammunition and weapons left about , if they ' d used those systems , that amount of weapon it would have given us a considerable amount of trouble trying to take the positions .","[[weapons], [they]]",ART-rl,NONE,19627
as soon as he arrived - - tho ##om being walked by the fbi to a van belonging to the ventura county sheriff ' s folks .,"[[van], [sheriff]]",ART-rl,NONE,33529
"i mean do you know ( un ##int ##elli ##gible ) ban ##ham i ' m not too sure but judging by some of this , it ' s been here quite a long time so whether it ' s been used recently by them - there was an intel upbeat saying that they were possibly coming back to try and get this to use against them .","[[it], [them]]",ART-rl,NONE,39272

"roth but now , it ' s the iraqi ambassador ' s time to leave , the united states .","[[ambassador], [united, states]]",NONE,PHYS-lr,57
in other news : feminist ##s still believe they ' re second - class citizens in the united states .,"[[they], [united, states]]",NONE,PHYS-lr,1112
mr . bush travels next to egypt and he will enter middle east peace talks at middle east .,"[[bush], [egypt]]",NONE,PHYS-lr,3909
"secretary of state colin powell said the offer was made during three - way talks between us , north korean and chinese diplomats last week in beijing .","[[diplomats], [beijing]]",NONE,PHYS-lr,4592
"later , he ' s supposed to helicopter to jericho on the west bank to meet with the palestinian prime minister mahmoud abbas .","[[he], [jericho]]",NONE,PHYS-lr,8108
chi ##lco ##te he orders his men back to their compound to await cooler heads .,"[[men], [compound]]",NONE,PHYS-lr,14108
national security correspondent david en ##sor joins us live from washington .,"[[david, en, ##sor], [washington]]",NONE,PHYS-lr,16506
how long do you anti ##ci ##pate large numbers of u . s . troops will remain there ?,"[[troops], [there]]",NONE,PHYS-lr,16531
sergeant chuck ha ##gel was seriously wounded twice in vietnam .,"[[chuck, ha, ##gel], [vietnam]]",NONE,PHYS-lr,17108
this brings to mind a speech prime minister tony blair gave recently while visiting iraq .,"[[tony, blair], [iraq]]",NONE,PHYS-lr,17831
she was there as a journalist in the wake of the 9 / 11 attacks .,"[[she], [there]]",NONE,PHYS-lr,21635
"` ` we are expecting ##n or at least planning for , a very difficult fight ahead , ' ' gen . stanley mcc ##hr ##yst ##al said at the pentagon tuesday .","[[stanley, mcc, ##hr, ##yst, ##al], [pentagon]]",NONE,PHYS-lr,22307
"the united states is deploy ##ing some of iraq ' s exiles and internal di ##ssi ##dents around the country to help root out pro - saddam elements , keep order and distribute aid , according to one such organization , the iraq national congress .","[[some], [country]]",NONE,PHYS-lr,24360
the couple is preparing to tie the knot at gracie mansion in new york tonight .,"[[couple], [gracie, mansion]]",NONE,PHYS-lr,26708
"the vice president dick cheney is now speaking in washington at a lunch ##eon honoring the secretary of defense , donald rum ##sf ##eld , the vice president will be presenting the jimmy doo ##lit ##tle award to the secretary of defense .","[[president], [washington]]",NONE,PHYS-lr,33753
"wood ##ruff well , john , given all that you ' ve said , we know that there ' s an american retired general waiting in kuwait .","[[general], [kuwait]]",NONE,PHYS-lr,35055
many members on that tape working together through a cell in germany known as the hamburg cell seen in the same room at the same time .,"[[members], [room]]",NONE,PHYS-lr,36304
