Sentence,Two_Entity,Predict,Label,idx
"that movie , also tipped to do well at the oscar ##s , also features pop star justin timber ##lake as nap ##ster founder sean parker , zu ##cker ##berg ' s mentor . [SEP] timber","[[pop, star], [sean, parker]]",per:title,no_relation,6007
"initially , the panel will include louis d . bo ##cca ##rdi , retired chief executive officer of the associated press ; retired u . s . rep . jennifer dunn , of washington state ; jack fuller , former president of tribune co . ' s publishing group ; retired detroit news columnist and former journal reporter thomas bray ; and nicholas negro ##pon ##te , the former chairman of the massachusetts institute of technology ' s media lab . [SEP] bo","[[jennifer, dunn], [columnist]]",per:title,no_relation,17121
"saudi permanent representative to the arab league ( al ) ahmad q ##att ##an said here on monday that he would attend the upcoming arab summit on behalf of his country , ruling out the presence of saudi king abdullah or foreign minister prince sa ##ud al - fai ##sal . [SEP] attend","[[his], [minister]]",per:title,no_relation,30086
"three babies have died and more than 6 , 200 others fell ill after drinking tainted milk powder in china , health minister chen zhu told reporters on wednesday . [SEP] zhu","[[minister], [chen, zhu]]",per:title,no_relation,32866
"` ` i sacrifice myself for the leader ' ' a ##yat ##oll ##ah ali k ##ham ##ene ##i , said another banner carried by demonstrators . [SEP] leader","[[leader], [a, ##yat, ##oll, ##ah, ali, k, ##ham, ##ene, ##i]]",per:title,no_relation,42042
"that was disputed by rep . carolyn malone ##y , d - n . y . , chairman of the joint economic committee , who cited a recent study ordered by congressional democrats . [SEP] malone","[[rep, .], [carolyn, malone, ##y]]",per:title,no_relation,55769
"a veteran member of prime minister gordon brown ' s labour party , she is favourite ahead of george young , a long - serving law ##maker from the main opposition conservatives . [SEP] young","[[george, young], [law, ##maker]]",per:title,no_relation,58179

"` ` the country as a whole is significantly un ##pre ##par ##ed for many large disasters in many areas , ' ' said irwin red ##lene ##r , director of the national center for disaster prepared ##ness at columbia university ' s mail ##man school of public health . [SEP] red","[[irwin, red, ##lene, ##r], [national, center, for, disaster, prepared, ##ness]]",org:top_members/employees,no_relation,50610
"* panel 2 * carl blake , national legislative director , paralyzed veterans of america * kerry baker , assistant national legislative director , disabled american veterans * dennis m . cu ##llin ##an , director , national legislative service , veterans of foreign wars of the united states * raymond c . kelley , national legislative director , american veterans ( am ##vet ##s ) [SEP] blake","[[carl, blake], [paralyzed, veterans, of, america]]",org:top_members/employees,no_relation,68099

