Sentence,Two_Entity,Predict,Label,idx,row,col
"in 1983 , a year after the rally , for ##sberg received the so - called ` ` genius award ' ' from the john d . and catherine t . macarthur foundation .","[[for, ##sberg], [john, d, .]]",no_relation,no_relation,1,0,0
this was among a batch of paperback oxford world ' s classics that i was given as a reward for reading and commenting on a manuscript for ou ##p .,"[[oxford, world], [ou, ##p]]",no_relation,no_relation,2,0,0
"the latest investigation was authorized after the supreme court in 2007 found dc ##c and its founder , jim fl ##avi ##n , guilty of selling dc ##c ' s ( euro ) 106 million ( then $ 130 million ) stake in f ##y ##ffe ##s after fl ##avi ##n - - also a f ##y ##ffe ##s director at the time - - received inside information about bad f ##y ##ffe ##s news in the pipeline .","[[106, million], [f, ##y, ##ffe, ##s]]",no_relation,no_relation,3,0,0
"the event is a response to a white house immigration reform proposal in march , said chung - w ##ha hong , executive director of the new york immigration coalition .","[[march], [new, york, immigration, coalition]]",no_relation,no_relation,4,0,0
"manning was prime minister in 1991 , and called a snap elections in 1995 which he lost to the un ##c after the party entered an electoral arrangement with the national alliance for reconstruction .","[[un, ##c], [national, alliance, for, reconstruction]]",no_relation,no_relation,5,0,0
christine e ##gers ##ze ##gi - ob ##rist ( l ) and had ##dad - ad ##el,"[[christine, e, ##gers, ##ze, ##gi, -, ob, ##rist], [had, ##dad, -, ad, ##el]]",no_relation,no_relation,6,0,0
"al - hub ##ays ##hi explained that , far from being a master ##mind , abu zu ##bay ##dah was responsible for ` ` receiving people and financing the camp , ' ' that he once bought him travel tickets , and that he was the man he went to when he needed a replacement passport .","[[he], [he]]",no_relation,no_relation,7,0,0
"` ` i have n ' t the slightest doubt that as soon as us and israeli warships are in place . . . and attempt to inspect the first ( iranian ) merchant ship , a shower of projectile ##s will be unleashed . . . that will be the exact moment the terrible war will start , ' ' castro wrote in the cuba ##de ##bate website .","[[iranian], [castro]]",no_relation,no_relation,10,0,0
"in o ' brien ' s home just off broadway in saratoga springs , there are shelves of books that mention his association with bala ##nch ##ine as well as jerome robbins , anthony tudor , rudolf nur ##eye ##v and mikhail bar ##ys ##hn ##iko ##v , among others .","[[broadway], [jerome, robbins]]",no_relation,no_relation,11,0,0
"folded into dil ##linger ' s office , the program is headed by director duncan mcc ##or ##mack , a 51 - year - old with a diverse background that includes mental health counseling .","[[dil, ##linger], [director]]",no_relation,no_relation,12,0,0
so let me get this straight - mu ##rat ku ##rna ##z should have been shot in 2001 because i asked you if he should be shot for being german in 2009 ?,"[[2001], [he]]",no_relation,no_relation,13,0,0
"while the massachusetts house of representatives debates the global warming solutions act , please show that commitment , by publicly calling for strong near - and long - term reductions in global warming pollution covering all areas including utilities , transportation , and more .","[[massachusetts, house, of, representatives], [global, warming, solutions, act]]",no_relation,no_relation,15,0,0
